time,Reaction_Force_Along_X,Reaction_Force_Along_Y
1.245,0.011831383964537,0.011823443025074
1.25,0.01186351466455,0.011863200387138
1.255,0.011910821695581,0.011910506630229
1.26,0.011958127555361,0.011957811706387
1.265,0.011882702090318,0.011964141074223
1.27,0.011918492893982,0.012004376475845
1.275,0.011879878477873,0.01202414178077
1.28,0.011926316056526,0.012071145699712
1.285,0.011972752485002,0.012118148473901
1.29,0.012019187741668,0.012165150080114
1.295,0.012065621826615,0.012212150519271
1.3,0.012112054739057,0.012259149790604
1.305,0.012158486479257,0.012306147894212
1.31,0.012152835063593,0.01234125788584
1.315,0.012114508023319,0.012368964873746
1.32,0.012160398342432,0.012415829493656
1.325,0.012206287507162,0.012462692982544
1.33,0.012252175479377,0.012509555301334
1.335,0.012298062258745,0.012556416449487
1.34,0.012343947845478,0.012603276426716
1.345,0.012389832240278,0.012650135234267
1.35,0.012429774982083,0.012692680754452
1.355,0.012475635056241,0.012739521308074
1.36,0.012521493939199,0.012786360692166
1.365,0.012567351631488,0.012833198906582
1.37,0.012586068571317,0.012796274934808
1.375,0.012620798602114,0.012786920027217
1.38,0.012664218022206,0.012824470303519
1.385,0.012709918982645,0.012870753234125
1.39,0.012755618759364,0.012917034988925
1.395,0.012801317344575,0.01296331557534
1.4,0.012847014737181,0.013009594993093
1.405,0.012892710938052,0.013055873241593
1.41,0.012938407747285,0.013102154301021
1.415,0.01298410590031,0.013148439791253
1.42,0.013029802864678,0.013194724109755
1.425,0.013075498640086,0.013241007257368
1.43,0.013121193227278,0.013287289233421
1.435,0.01316688662622,0.013333570037861
1.44,0.013212578837451,0.013379849671556
1.445,0.013258269859748,0.013426128133785
1.45,0.013303959694658,0.013472405424977
1.455,0.01334964834204,0.013518681545379
1.46,0.013395335802083,0.013564956494714
1.465,0.013436966487194,0.013606134544012
1.47,0.013456542882882,0.013565972942007
1.475,0.013502124240715,0.013611933037488
1.48,0.013547704410765,0.013657891960387
1.485,0.013593283394254,0.013703849711365
1.49,0.013638861191957,0.013749806292077
1.495,0.013684437803097,0.01379576170151
1.5,0.013730019853551,0.013841721651223
1.505,0.01377560218331,0.013887681686643
1.51,0.013821183334671,0.013933640551536
1.515,0.013866763306391,0.013979598245262
1.52,0.013912342098336,0.014025554767931
1.525,0.013957919709829,0.014071510118498
1.53,0.014003496141436,0.01411746429782
1.535,0.014049071393426,0.014163417305793
1.54,0.01409464546534,0.014209369142049
1.545,0.014140218357601,0.014255319807412
1.55,0.014185790070389,0.014301269300759
1.555,0.014231360602604,0.014347217622796
1.56,0.014276929955237,0.01439316477411
1.565,0.014322498128131,0.014439110753755
1.57,0.014368065120908,0.014485055562204
1.575,0.014413630934191,0.0145309991992
1.58,0.01437851975321,0.014548092722208
1.585,0.014423827970507,0.014593942784569
1.59,0.014469135005404,0.014639791673271
1.595,0.014514440861096,0.014685639391382
1.6,0.014559745537614,0.014731485938859
1.605,0.014605049034389,0.014777331315158
1.61,0.014650351353019,0.014823175521179
1.615,0.014695652491842,0.014869018556341
1.62,0.014740952451339,0.014914860420654
1.625,0.014786251231887,0.014960701114598
1.63,0.014831548833456,0.015006540637826
1.635,0.014876845255976,0.015052378990316
1.64,0.014838709274167,0.015070037815915
1.645,0.014883749894511,0.015115780265269
1.65,0.014928789365718,0.015161521585683
1.655,0.01497382765098,0.015207261734549
1.66,0.015018864750802,0.015253000713714
1.665,0.015063900665583,0.015298738521799
1.67,0.015108935394883,0.015344475159038
1.675,0.015153968937837,0.015390210625471
1.68,0.015199001296095,0.01543594492131
1.685,0.015244032469742,0.015481678046744
1.69,0.015289062458015,0.015527410001876
1.695,0.015334091260489,0.015573140785808
1.7,0.015379118878504,0.015618870399499
1.705,0.015424145311491,0.015664598842623
1.71,0.015428327780407,0.015580290883014
1.715,0.015470944985947,0.015618468273529
1.72,0.015515838376617,0.015663786504391
1.725,0.015560730579825,0.015709103563288
1.73,0.015605621598759,0.015754419452657
1.735,0.015650511432375,0.01579973417249
1.74,0.01569540008,0.015845047722661
1.745,0.015740287543597,0.015890360102153
1.75,0.015785173821294,0.015935671312792
1.755,0.01582526755586,0.015976508675719
1.76,0.01587013787404,0.016021804854348
1.765,0.015915007007125,0.016067099864259
1.77,0.0159598749568,0.016112393703928
1.775,0.016004741721695,0.016157686375296
1.78,0.016049607303059,0.016202977876229
1.785,0.016094471699517,0.016248268208529
1.79,0.016139334912819,0.01629355737074
1.795,0.016184196941718,0.016338845363853
1.8,0.016225131424158,0.016378575003506
1.805,0.016269981724495,0.016423847596575
1.81,0.016314832712878,0.016469121908472
1.815,0.016329821747322,0.016434616361333
1.82,0.016374584975918,0.01647966370376
1.825,0.016419350234209,0.016524714738095
1.83,0.016464114310068,0.016569764602456
1.835,0.016508877203974,0.016614813296495
1.84,0.016553638916856,0.01665986082018
1.845,0.016598399448016,0.016704907173653
1.85,0.016643158798261,0.016749952356955
1.855,0.016687916966361,0.016794996370194
1.86,0.016732673953155,0.016840039213713
1.865,0.016777429758716,0.016885080886391
1.87,0.016822184383147,0.016930121389344
1.875,0.016866937826309,0.016975160722078
1.88,0.016911690088524,0.017020198885489
1.885,0.016956441169084,0.017065235878378
1.89,0.017001191069023,0.017110271700966
1.895,0.017045939787498,0.017155306354316
1.9,0.017090687325531,0.017200339836957
1.905,0.017135433682754,0.017245372150433
1.91,0.017180178858635,0.017290403293335
1.915,0.017224922854133,0.017335433267058
1.92,0.017269667320765,0.01738046647846
1.925,0.01731045872475,0.017421814015318
1.93,0.01735519124904,0.017466837043095
1.935,0.017399922595368,0.017511858900534
1.94,0.017444652763871,0.017556879588222
1.945,0.017489381754516,0.017601899105393
1.95,0.017534109568284,0.017646917451739
1.955,0.017578836203742,0.017691934628258
1.96,0.017623561662129,0.017736950634673
1.965,0.017668285942968,0.017781965470623
1.97,0.017713009046292,0.017826979136543
1.975,0.017757730971963,0.017871991632039
1.98,0.017802451720553,0.017917002957638
1.985,0.017847171291376,0.017962013113258
1.99,0.017891889684912,0.018007022097605
1.995,0.01793660690111,0.018052029912724
2,0.017971768928975,0.018046326047319
